service_id,date,exception_type
78965,20230821,2
78968,20230821,1
78965,20230822,2
78968,20230822,1
78965,20230823,2
78968,20230823,1
78965,20230824,2
78968,20230824,1
78965,20230825,2
78968,20230825,1
78965,20230828,2
78968,20230828,1
78965,20230829,2
78968,20230829,1
78965,20230830,2
78968,20230830,1
78965,20230831,2
78968,20230831,1
78965,20230901,2
78968,20230901,1
78965,20230904,2
78966,20230904,1
78965,20230905,2
78968,20230905,1
78965,20230906,2
78968,20230906,1
78965,20230907,2
78968,20230907,1
78965,20230908,2
78968,20230908,1
78965,20230911,2
78968,20230911,1
78965,20230912,2
78968,20230912,1
78965,20230913,2
78968,20230913,1
78965,20230914,2
78968,20230914,1
78965,20230915,2
78968,20230915,1
78965,20230918,2
78968,20230918,1
78965,20230919,2
78968,20230919,1
78965,20230920,2
78968,20230920,1
78965,20230921,2
78968,20230921,1
78965,20230922,2
78968,20230922,1
78965,20230925,2
78968,20230925,1
78965,20230926,2
78968,20230926,1
78965,20230927,2
78968,20230927,1
78965,20230928,2
78968,20230928,1
78965,20230929,2
78968,20230929,1
78965,20231002,2
78968,20231002,1
78965,20231003,2
78968,20231003,1
78965,20231004,2
78968,20231004,1
78965,20231005,2
78968,20231005,1
78965,20231006,2
78968,20231006,1
78965,20231009,2
78967,20231009,1
78965,20231010,2
78968,20231010,1
78965,20231011,2
78968,20231011,1
78965,20231012,2
78968,20231012,1
78965,20231013,2
78968,20231013,1
78965,20231016,2
78968,20231016,1
78965,20231017,2
78968,20231017,1
78965,20231018,2
78968,20231018,1
78965,20231019,2
78968,20231019,1
78965,20231020,2
78968,20231020,1
78965,20231023,2
78968,20231023,1
78965,20231024,2
78968,20231024,1
78965,20231025,2
78968,20231025,1
78965,20231026,2
78968,20231026,1
78965,20231027,2
78968,20231027,1
78965,20231030,2
78968,20231030,1
78965,20231031,2
78968,20231031,1
78965,20231101,2
78968,20231101,1
78965,20231102,2
78968,20231102,1
78965,20231103,2
78968,20231103,1
78965,20231106,2
78968,20231106,1
78965,20231107,2
78968,20231107,1
78965,20231108,2
78968,20231108,1
78965,20231109,2
78968,20231109,1
78965,20231110,2
78966,20231110,1
78965,20231113,2
78968,20231113,1
78965,20231114,2
78968,20231114,1
78965,20231115,2
78968,20231115,1
78965,20231116,2
78968,20231116,1
78965,20231117,2
78968,20231117,1
78965,20231120,2
79116,20231120,1
78965,20231121,2
79116,20231121,1
78965,20231122,2
79116,20231122,1
78965,20231123,2
78967,20231123,1
78965,20231124,2
79116,20231124,1
78965,20231127,2
78968,20231127,1
78965,20231128,2
78968,20231128,1
78965,20231129,2
78968,20231129,1
78965,20231130,2
78968,20231130,1
78965,20231201,2
78968,20231201,1
78965,20231204,2
78968,20231204,1
78965,20231205,2
78968,20231205,1
78965,20231206,2
78968,20231206,1
78965,20231207,2
78968,20231207,1
78965,20231208,2
78968,20231208,1
78965,20231211,2
78968,20231211,1
78965,20231212,2
78968,20231212,1
78965,20231213,2
78968,20231213,1
78965,20231214,2
78968,20231214,1
78965,20231215,2
78968,20231215,1
78965,20231218,2
78968,20231218,1
78965,20231219,2
78968,20231219,1
78965,20231220,2
78968,20231220,1
78965,20231221,2
78968,20231221,1
78965,20231222,2
79116,20231222,1
78965,20231225,2
78966,20231225,1
78965,20231226,2
79116,20231226,1
78965,20231227,2
79116,20231227,1
78965,20231228,2
79116,20231228,1
78965,20231229,2
79116,20231229,1
78965,20240101,2
78967,20240101,1
78965,20240102,2
79116,20240102,1
78965,20240103,2
79116,20240103,1
78965,20240104,2
79116,20240104,1
78965,20240105,2
79116,20240105,1
78965,20240108,2
78968,20240108,1
78965,20240109,2
78968,20240109,1
78965,20240110,2
78968,20240110,1
78965,20240111,2
78968,20240111,1
78965,20240112,2
78968,20240112,1
78965,20240115,2
78966,20240115,1
78965,20240116,2
78968,20240116,1
78965,20240117,2
78968,20240117,1
78965,20240118,2
78968,20240118,1
78965,20240119,2
78968,20240119,1
78965,20240122,2
78968,20240122,1
78965,20240123,2
78968,20240123,1
78965,20240124,2
78968,20240124,1
78965,20240125,2
78968,20240125,1
78965,20240126,2
78968,20240126,1
78965,20240129,2
78968,20240129,1
78965,20240130,2
78968,20240130,1
78965,20240131,2
78968,20240131,1
78965,20240201,2
78968,20240201,1
78965,20240202,2
78968,20240202,1
