fare_id,route_id,origin_id,destination_id,contains_id
272770,PM,,,
272770,PH,,,
272770,CA,,,
272769,28R,,,
272769,TBUS,,,
272769,T,,,
272769,S,,,
272769,NOWL,,,
272769,NBUS,,,
272769,N,,,
272769,M,,,
272769,LOWL,,,
272769,LBUS,,,
272769,KBUS,,,
272769,K,,,
272769,J,,,
272769,F,,,
272769,9R,,,
272769,91,,,
272769,90,,,
272769,9,,,
272769,8BX,,,
272769,8AX,,,
272769,8,,,
272769,714,,,
272769,7,,,
272769,67,,,
272769,66,,,
272769,6,,,
272769,5R,,,
272769,58,,,
272769,57,,,
272769,56,,,
272769,55,,,
272769,54,,,
272769,52,,,
272769,5,,,
272769,49,,,
272769,48,,,
272769,45,,,
272769,44,,,
272769,43,,,
272769,39,,,
272769,38R,,,
272769,38,,,
272769,37,,,
272769,36,,,
272769,35,,,
272769,33,,,
272769,31,,,
272769,30,,,
272769,29,,,
272769,28,,,
272769,27,,,
272769,25,,,
272769,24,,,
272769,23,,,
272769,22,,,
272769,21,,,
272769,2,,,
272769,1X,,,
272769,19,,,
272769,18,,,
272769,15,,,
272769,14R,,,
272769,14,,,
272769,12,,,
272769,1,,,
