route_id,category,subcategory,running_way
1,2,201,3
12,3,301,5
1X,3,302,3
14,2,201,3
14R,2,201,3
15,3,302,4
18,3,301,5
19,3,301,5
2,3,301,5
21,3,301,5
22,2,201,3
23,3,301,5
24,2,201,4
25,4,401,5
27,3,301,5
28,2,201,2
29,3,301,5
30,2,201,3
31,3,301,5
33,3,301,5
35,4,401,5
36,4,401,5
37,4,401,5
38,2,201,3
38R,2,201,3
39,4,401,5
43,3,301,5
44,3,301,4
45,3,301,3
48,3,301,5
49,2,201,2
5,3,301,4
52,4,401,5
54,3,301,5
55,4,401,5
56,4,401,5
57,4,401,5
58,4,401,5
5R,2,201,4
6,3,301,4
66,4,401,5
67,4,401,5
7,2,201,3
714,5,501,5
8,2,201,3
8AX,3,302,5
8BX,3,302,5
9,2,201,4
90,3,303,5
91,3,303,5
9R,2,201,3
CA,3,301,3
F,3,301,5
J,2,201,3
KBUS,2,201,4
K,2,201,3
LOWL,2,203,5
LBUS,2,201,5
M,2,201,3
N,2,201,3
NOWL,2,203,5
NBUS,2,201,5
PH,3,301,3
PM,3,301,3
S,2,201,3
TBUS,2,201,4
T,2,201,3
